"District","Phase1","Phase2","Total"
"Awaran","93","9","102"
"Barkhan","36","0","36"
"Chaghai","6","2","8"
"Chaman","30","5","35"
"Dera Bugti","12","3","15"
"Duki","14","1","15"
"Gwadar","15","1","16"
"Harnai","17","0","17"
"Hub","16","3","19"
"Jaffarabad","2","6","8"
"Jhal Magsi","5","13","18"
"Kachhi","38","9","47"
"Kalat","27","3","30"
"Kech","38","7","45"
"Kharan","9","1","10"
"Khuzdar","23","5","28"
"Killa Abdullah","7","1","8"
"Killa Saifullah","5","6","11"
"Kohlu","22","4","26"
"Lasbela","23","0","23"
"Loralai","6","0","6"
"Mastung","10","0","10"
"Musa Khel","17","0","17"
"Naseerabad","27","0","27"
"Noushki","11","0","11"
"Panjgur","15","2","17"
"Pishin","28","1","29"
"Quetta","0","0","0"
"Sherani","64","24","88"
"Sibi","13","25","38"
"Sohbatpur","22","17","39"
"Surab","5","0","5"
"Usta Muhammad","5","4","9"
"Washuk","18","3","21"
"Zhob","22","3","25"
"Ziarat","10","0","10"
